  0.00000000E+00  0.72175258E-45 -0.27738797E-16
  0.50000000E-02  0.72175431E-45  0.19248611E-01
  0.10000000E-01  0.72175952E-45  0.38497548E-01
  0.15000000E-01  0.72176821E-45  0.57747135E-01
  0.20000000E-01  0.72178037E-45  0.76997698E-01
  0.25000000E-01  0.72179600E-45  0.96249563E-01
  0.30000000E-01  0.72181511E-45  0.11550305E+00
  0.35000000E-01  0.72183769E-45  0.13475850E+00
  0.40000000E-01  0.72186374E-45  0.15401622E+00
  0.45000000E-01  0.72189327E-45  0.17327656E+00
  0.50000000E-01  0.72192628E-45  0.19253982E+00
  0.55000000E-01  0.72196275E-45  0.21180634E+00
  0.60000000E-01  0.72200271E-45  0.23107646E+00
  0.65000000E-01  0.72204614E-45  0.25035049E+00
  0.70000000E-01  0.72209304E-45  0.26962877E+00
  0.75000000E-01  0.72214342E-45  0.28891162E+00
  0.80000000E-01  0.72219727E-45  0.30819938E+00
  0.85000000E-01  0.72225460E-45  0.32749238E+00
  0.90000000E-01  0.72231540E-45  0.34679095E+00
  0.95000000E-01  0.72237968E-45  0.36609542E+00
  0.10000000E+00  0.72244744E-45  0.38540613E+00
  0.10500000E+00  0.72251867E-45  0.40472342E+00
  0.11000000E+00  0.72259338E-45  0.42404761E+00
  0.11500000E+00  0.72267157E-45  0.44337904E+00
  0.12000000E+00  0.72275324E-45  0.46271806E+00
  0.12500000E+00  0.72283838E-45  0.48206500E+00
  0.13000000E+00  0.72292700E-45  0.50142021E+00
  0.13500000E+00  0.72301910E-45  0.52078402E+00
  0.14000000E+00  0.72311467E-45  0.54015678E+00
  0.14500000E+00  0.72321373E-45  0.55953883E+00
  0.15000000E+00  0.72331626E-45  0.57893052E+00
  0.15500000E+00  0.72342228E-45  0.59833220E+00
  0.16000000E+00  0.72353177E-45  0.61774422E+00
  0.16500000E+00  0.72364475E-45  0.63716692E+00
  0.17000000E+00  0.72376120E-45  0.65660067E+00
  0.17500000E+00  0.72388114E-45  0.67604581E+00
  0.18000000E+00  0.72400456E-45  0.69550271E+00
  0.18500000E+00  0.72413146E-45  0.71497171E+00
  0.19000000E+00  0.72426185E-45  0.73445319E+00
  0.19500000E+00  0.72439572E-45  0.75394750E+00
  0.20000000E+00  0.72453307E-45  0.77345501E+00
